subject,pe,se,lz,hjorth_mob,hjorth_cplx,p300,dataset
sub-010,0.4714800033901207,0.29595889507063167,0.2831215535335676,0.09143155798009125,1.2631787362746028,-8.424957228749933e-07,primary
sub-010,0.4364311046051698,0.19619405862465722,0.23593462794463968,0.06724664292819793,1.1603027764935765,1.4827452066872718e-06,primary
sub-010,0.43976435782738044,0.1492209187958993,0.23593462794463968,0.06157743642980875,1.5555205857399954,4.591275118720907e-06,primary
sub-010,0.47783588461926135,0.17398550339189328,0.2831215535335676,0.07161321797828506,1.5788478813716487,-3.968869113186847e-06,primary
sub-010,0.47016731668085593,0.12987140791528934,0.33030847912249556,0.0590223808311561,1.7014144479863544,-3.915775497200514e-07,primary
sub-010,0.4177748807660949,0.18991264549560075,0.23593462794463968,0.0625786882218948,1.3619904036692343,-6.54617373222818e-06,primary
sub-010,0.46204095343864193,0.29681743288088075,0.2831215535335676,0.08067197506888127,1.3560796933456607,-1.8684814134048968e-06,primary
sub-010,0.4364279932980315,0.3178142222395418,0.33030847912249556,0.11766674840985754,1.2783075807904791,5.244053654669208e-06,primary
sub-012,0.4403607380831423,0.26346781433118627,0.23593462794463968,0.07688034464816934,1.339122508887852,-1.4277129412515156e-05,primary
sub-012,0.46387671331705066,0.23738761284013113,0.2831215535335676,0.06884903491782249,1.815114653192438,7.3279391110204735e-06,primary
sub-012,0.45937841405922347,0.18996593117508692,0.2831215535335676,0.07397498759982928,1.4138731844013237,-2.1954056512297992e-06,primary
sub-012,0.4924130674632365,0.19869417586387378,0.23593462794463968,0.06498020300944268,1.6838451471660907,1.5444450659545936e-05,primary
sub-012,0.5099858524942185,0.28027854841821614,0.33030847912249556,0.07961255013818752,1.8626398199397523,-4.634273825172511e-06,primary
sub-012,0.48161440422550045,0.32184099126309984,0.2831215535335676,0.1066319573208049,1.1738806710918137,4.974758727193155e-06,primary
sub-012,0.45714234996627756,0.09556515175879131,0.18874770235571173,0.047129192844420194,2.1286640978530156,-6.302990085948764e-06,primary
sub-012,0.5060602314135719,0.3506764604436189,0.23593462794463968,0.09532406853127552,1.5537233697878696,5.841011759959214e-06,primary
sub-012,0.4325732297859362,0.12751794726165933,0.23593462794463968,0.04398726348356014,3.0712396815767566,-2.5241456055457457e-06,primary
sub-012,0.4980352462253858,0.4155154439616658,0.18874770235571173,0.10999458774927678,1.1899444380590372,-9.223597226071172e-06,primary
sub-012,0.45488372013985423,0.23340005148139892,0.18874770235571173,0.06992645088472967,1.6050995452791457,2.7308292260718607e-06,primary
sub-012,0.4886258250401537,0.13459015397276464,0.23593462794463968,0.05073721382358096,1.8451965683919849,2.988260261716516e-07,primary
